president,speech_date,year,title,url,source_file,word_count,self_count,collective_count,self_per_1k,collective_per_1k,self_share,speech_type,is_sotu_series,delivery_mode
John Tyler,1842-05-10,1842,"May 10, 1842: Message Regarding Indian Affairs in Florida",https://millercenter.org/the-presidency/presidential-speeches/may-10-1842-message-regarding-indian-affairs-florida,"John_Tyler_1842-05-10T14:03:58-04:56_May_10,_1842:_Message_Regarding_Indian_Affairs_in_Florida.json",693,8,2,11.54,2.89,0.8,Other,False,written_era
John Tyler,1842-08-09,1842,"August 9, 1842: Veto Message Regarding Import Duties",https://millercenter.org/the-presidency/presidential-speeches/august-9-1842-veto-message-regarding-import-duties,"John_Tyler_1842-08-09T14:06:58-04:56_August_9,_1842:_Veto_Message_Regarding_Import_Duties.json",3197,50,3,15.64,0.94,0.9434,Other,False,written_era
John Tyler,1842-08-11,1842,"August 11, 1842: Message to Senate on Negotiations with Britain",https://millercenter.org/the-presidency/presidential-speeches/august-11-1842-message-senate-negotiations-britain,"John_Tyler_1842-08-11T14:07:58-04:56_August_11,_1842:_Message_to_Senate_on_Negotiations_with_Britain.json",8086,16,2,1.98,0.25,0.8889,Other,False,written_era
John Tyler,1842-08-18,1842,"August 18, 1842: Message Regarding Treaty with Texas",https://millercenter.org/the-presidency/presidential-speeches/august-18-1842-message-regarding-treaty-texas,"John_Tyler_1842-08-18T14:20:58-04:56_August_18,_1842:_Message_Regarding_Treaty_with_Texas.json",657,1,1,1.52,1.52,0.5,Other,False,written_era
John Tyler,1842-12-06,1842,"December 6, 1842: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1842-second-annual-message,"John_Tyler_1842-12-06T14:26:58-04:56_December_6,_1842:_Second_Annual_Message.json",8393,37,44,4.41,5.24,0.4568,Annual Message,True,written_era
John Tyler,1842-12-30,1842,"December 30, 1842: Message to Congress Regarding US-Hawaiian Relations",https://millercenter.org/the-presidency/presidential-speeches/december-30-1842-message-congress-regarding-us-hawaiian,"John_Tyler_1842-12-30T14:27:58-04:56_December_30,_1842:_Message_to_Congress_Regarding_US-Hawaiian_Relations.json",1486,3,0,2.02,0.0,1.0,Address to Congress,False,written_era
John Tyler,1843-12-05,1843,"December 5, 1843: Third Annual Message to Congress",https://millercenter.org/the-presidency/presidential-speeches/december-5-1843-third-annual-message-congress,"John_Tyler_1843-12-05T14:28:58-04:56_December_5,_1843:_Third_Annual_Message_to_Congress.json",8009,51,59,6.37,7.37,0.4636,Annual Message,True,written_era
John Tyler,1844-04-09,1844,"April 9, 1844: Message Regarding Disturbances in Rhode Island",https://millercenter.org/the-presidency/presidential-speeches/april-9-1844-message-regarding-disturbances-rhode-island,"John_Tyler_1844-04-09T14:34:58-04:56_April_9,_1844:_Message_Regarding_Disturbances_in_Rhode_Island.json",1954,16,1,8.19,0.51,0.9412,Other,False,written_era
John Tyler,1844-06-11,1844,"June 11, 1844: Veto Message Regarding Infrastructure Improvements",https://millercenter.org/the-presidency/presidential-speeches/june-11-1844-veto-message-regarding-infrastructure,"John_Tyler_1844-06-11T14:35:58-04:56_June_11,_1844:_Veto_Message_Regarding_Infrastructure_Improvements.json",1612,13,2,8.06,1.24,0.8667,Other,False,written_era
John Tyler,1844-12-03,1844,"December 3, 1844: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1844-fourth-annual-message,"John_Tyler_1844-12-03T14:36:58-04:56_December_3,_1844:_Fourth_Annual_Message.json",9313,62,91,6.66,9.77,0.4052,Annual Message,True,written_era
John Tyler,1844-12-18,1844,"December 18, 1844: Message Regarding US-Mexican Affairs",https://millercenter.org/the-presidency/presidential-speeches/december-18-1844-message-regarding-us-mexican-affairs,"John_Tyler_1844-12-18T14:39:58-04:56_December_18,_1844:_Message_Regarding_US-Mexican_Affairs.json",1767,3,13,1.7,7.36,0.1875,Other,False,written_era
John Tyler,1845-02-20,1845,"February 20, 1845: Message Regarding the Slave Trade",https://millercenter.org/the-presidency/presidential-speeches/february-20-1845-message-regarding-slave-trade,"John_Tyler_1845-02-20T14:40:58-04:56_February_20,_1845:_Message_Regarding_the_Slave_Trade.json",1090,3,7,2.75,6.42,0.3,Other,False,written_era
Lyndon B. Johnson,1963-05-30,1963,"May 30, 1963: Remarks at Gettysburg on Civil Rights",https://millercenter.org/the-presidency/presidential-speeches/may-30-1963-remarks-gettysburg-civil-rights,"Lyndon_B._Johnson_1963-05-30T13:00:00-04:00_May_30,_1963:_Remarks_at_Gettysburg_on_Civil_Rights.json",705,0,31,0.0,43.97,0.0,Other,False,spoken_era
Lyndon B. Johnson,1963-11-27,1963,"November 27, 1963: Address to Joint Session of Congress",https://millercenter.org/the-presidency/presidential-speeches/november-27-1963-address-joint-session-congress,"Lyndon_B._Johnson_1963-11-27T13:00:00-05:00_November_27,_1963:_Address_to_Joint_Session_of_Congress.json",1635,26,78,15.9,47.71,0.25,Address to Congress,False,spoken_era
Lyndon B. Johnson,1963-11-28,1963,"November 28, 1963: Thanksgiving Message",https://millercenter.org/the-presidency/presidential-speeches/november-28-1963-thanksgiving-message,"Lyndon_B._Johnson_1963-11-28T13:00:00-05:00_November_28,_1963:_Thanksgiving_Message.json",2049,44,140,21.47,68.33,0.2391,Other,False,spoken_era
